"probe1"	"probe2"	"ont"
"214527_s_at"	"213517_at"	0.722
"207769_s_at"	"202354_s_at"	0.709
"207769_s_at"	"202355_s_at"	0.709
"207769_s_at"	"202356_s_at"	0.709
"210499_s_at"	"202354_s_at"	0.709
"210499_s_at"	"202355_s_at"	0.709
"210499_s_at"	"202356_s_at"	0.709
"214527_s_at"	"202354_s_at"	0.709
"214527_s_at"	"202355_s_at"	0.709
"214527_s_at"	"202356_s_at"	0.709
"207769_s_at"	"202586_at"	0.6
"207769_s_at"	"211730_s_at"	0.6
"210499_s_at"	"202586_at"	0.6
"210499_s_at"	"211730_s_at"	0.6
"214527_s_at"	"202586_at"	0.6
"214527_s_at"	"211730_s_at"	0.6
"207769_s_at"	"209449_at"	0.448
"210499_s_at"	"209449_at"	0.448
"214527_s_at"	"209449_at"	0.448
"207769_s_at"	"201638_s_at"	0.496
"210499_s_at"	"201638_s_at"	0.496
"214527_s_at"	"201638_s_at"	0.496
"207769_s_at"	"218110_at"	0.576
"210499_s_at"	"218110_at"	0.576
"214527_s_at"	"218110_at"	0.576
"207769_s_at"	"221021_s_at"	0.525
"210499_s_at"	"221021_s_at"	0.525
"214527_s_at"	"221021_s_at"	0.525
"207769_s_at"	"208620_at"	0.578
"210499_s_at"	"208620_at"	0.578
"214527_s_at"	"208620_at"	0.578
"207769_s_at"	"204559_s_at"	0.448
"210499_s_at"	"204559_s_at"	0.448
"214527_s_at"	"204559_s_at"	0.448
"207769_s_at"	"202253_s_at"	0.518
"207769_s_at"	"216024_at"	0.518
"210499_s_at"	"202253_s_at"	0.518
"210499_s_at"	"216024_at"	0.518
"214527_s_at"	"202253_s_at"	0.518
"214527_s_at"	"216024_at"	0.518
"218952_at"	"201116_s_at"	NA
"218952_at"	"201117_s_at"	NA
"208723_at"	"212269_s_at"	NA
"208723_at"	"214514_at"	NA
"208723_at"	"215580_at"	NA
"208723_at"	"215581_s_at"	NA
"208723_at"	"215582_x_at"	NA
"208723_at"	"208984_x_at"	NA
"208723_at"	"215089_s_at"	NA
"208723_at"	"217221_x_at"	NA
"208723_at"	"206031_s_at"	1
"204638_at"	"209235_at"	0
"204638_at"	"221961_at"	0
"204638_at"	"38069_at"	0
"204638_at"	"218678_at"	0.146
"204638_at"	"207113_s_at"	0.073
"204638_at"	"220428_at"	0.015
"204638_at"	"219330_at"	0.196
"217395_at"	"204326_x_at"	0.831
"217395_at"	"208581_x_at"	0.831
"203365_s_at"	"207113_s_at"	0.309
"203365_s_at"	"210514_x_at"	0.145
"203365_s_at"	"211528_x_at"	0.145
"203365_s_at"	"211529_x_at"	0.145
"203365_s_at"	"211530_x_at"	0.145
"215624_at"	"204292_x_at"	0.587
"215624_at"	"41657_at"	0.587
"215735_s_at"	"204292_x_at"	0.587
"215735_s_at"	"41657_at"	0.587
"215624_at"	"212983_at"	0.592
"215735_s_at"	"212983_at"	0.592
"215624_at"	"221539_at"	0.305
"215735_s_at"	"221539_at"	0.305
"215624_at"	"207163_s_at"	0.585
"215735_s_at"	"207163_s_at"	0.585
"215624_at"	"202240_at"	0.59
"215735_s_at"	"202240_at"	0.59
"215624_at"	"200094_s_at"	0.281
"215624_at"	"204102_s_at"	0.281
"215735_s_at"	"200094_s_at"	0.281
"215735_s_at"	"204102_s_at"	0.281
"215624_at"	"203691_at"	0.156
"215624_at"	"41469_at"	0.156
"215735_s_at"	"203691_at"	0.156
"215735_s_at"	"41469_at"	0.156
"215624_at"	"207359_at"	0.501
"215624_at"	"210787_s_at"	0.501
"215624_at"	"212252_at"	0.501
"215624_at"	"213812_s_at"	0.501
"215735_s_at"	"207359_at"	0.501
"215735_s_at"	"210787_s_at"	0.501
"215735_s_at"	"212252_at"	0.501
"215735_s_at"	"213812_s_at"	0.501
"207933_at"	"208449_s_at"	0.068
"207933_at"	"208330_at"	0
"207824_s_at"	"212983_at"	0.161
"212064_x_at"	"212983_at"	0.161
"207824_s_at"	"207163_s_at"	0.108
"212064_x_at"	"207163_s_at"	0.108
"202329_at"	"200744_s_at"	0.305
"202329_at"	"200745_s_at"	0.305
"202329_at"	"200746_s_at"	0.305
"202329_at"	"212983_at"	0.436
"202329_at"	"202112_at"	0.334
"202329_at"	"208991_at"	0.329
"202329_at"	"208992_s_at"	0.329
"202329_at"	"203388_at"	0.426
"202329_at"	"203175_at"	0.412
"202329_at"	"221548_s_at"	NA
"202329_at"	"207000_s_at"	0.216
"202329_at"	"209697_at"	0.216
"202329_at"	"213950_s_at"	0.216
"202329_at"	"32540_at"	0.216
"202329_at"	"32541_at"	0.216
"202329_at"	"200601_at"	0.292
"202329_at"	"207163_s_at"	0.373
"202329_at"	"206493_at"	0.3
"202329_at"	"206494_s_at"	0.3
"202329_at"	"216956_s_at"	0.3
"202329_at"	"216966_at"	0.3
"202329_at"	"208894_at"	0.4
"202329_at"	"210982_s_at"	0.4
"202329_at"	"208018_s_at"	0.467
"202329_at"	"210845_s_at"	0.43
"202329_at"	"211924_s_at"	0.43
"202329_at"	"214866_at"	0.43
"202329_at"	"202253_s_at"	0.352
"202329_at"	"216024_at"	0.352
"202329_at"	"205049_s_at"	0.478
"202329_at"	"219483_s_at"	0.327
"202329_at"	"203872_at"	0.237
"202295_s_at"	"204493_at"	0.4
"202295_s_at"	"211725_s_at"	0.4
"202295_s_at"	"208894_at"	0.428
"202295_s_at"	"210982_s_at"	0.428
"218481_at"	"200717_x_at"	0.6
"218481_at"	"212042_x_at"	0.6
"218481_at"	"212044_s_at"	0.439
"218481_at"	"200010_at"	0.462
"218481_at"	"200908_s_at"	0.439
"218481_at"	"217670_at"	0.439
"218481_at"	"214317_x_at"	0.535
"218481_at"	"217747_s_at"	0.535
"218481_at"	"221798_x_at"	0.547
"218481_at"	"207585_s_at"	NA
"218481_at"	"200022_at"	0.429
"218481_at"	"214335_at"	0.429
"218481_at"	"222297_x_at"	0.429
"218481_at"	"217266_at"	0.429
"218481_at"	"221475_s_at"	0.429
"218481_at"	"221476_s_at"	0.429
"218481_at"	"203740_at"	0.466
"218481_at"	"201492_s_at"	0.429
"218481_at"	"211962_s_at"	0.318
"218481_at"	"211965_at"	0.318
"218481_at"	"213277_at"	0.318
"218481_at"	"213284_at"	0.318
"218481_at"	"201033_x_at"	0.439
"218481_at"	"208856_x_at"	0.439
"218481_at"	"211720_x_at"	0.439
"218481_at"	"211972_x_at"	0.439
"218481_at"	"214167_s_at"	0.439
"218481_at"	"200002_at"	0.498
"218481_at"	"200062_s_at"	0.484
"218481_at"	"200074_s_at"	0.591
"218481_at"	"213588_x_at"	0.591
"218481_at"	"219138_at"	0.591
"218481_at"	"200674_s_at"	0.429
"218481_at"	"204371_s_at"	0.578
"218481_at"	"204372_s_at"	0.578
"218481_at"	"212303_x_at"	0.578
"218481_at"	"212101_at"	0
"218481_at"	"212102_s_at"	0
"218481_at"	"212103_at"	0
"218481_at"	"200936_at"	0.429
"218481_at"	"212627_s_at"	0.827
"218481_at"	"213648_at"	0.827
"218481_at"	"200092_s_at"	0.439
"218481_at"	"201429_s_at"	0.439
"218481_at"	"213459_at"	0.439
"218481_at"	"214041_x_at"	0.439
