"probe1"	"probe2"	"ont"
"211725_s_at"	"214057_at"	0.608
"204493_at"	"200600_at"	0.296
"211725_s_at"	"200600_at"	0.296
"204493_at"	"209941_at"	0.56
"211725_s_at"	"209941_at"	0.56
"204493_at"	"201471_s_at"	0.607
"204493_at"	"213112_s_at"	0.607
"211725_s_at"	"201471_s_at"	0.607
"211725_s_at"	"213112_s_at"	0.607
"211962_s_at"	"212627_s_at"	0.3
"211962_s_at"	"213648_at"	0.3
"211965_at"	"212627_s_at"	0.3
"211965_at"	"213648_at"	0.3
"213277_at"	"212627_s_at"	0.3
"213277_at"	"213648_at"	0.3
"213284_at"	"212627_s_at"	0.3
"213284_at"	"213648_at"	0.3
"211962_s_at"	"218481_at"	0.318
"211965_at"	"218481_at"	0.318
"213277_at"	"218481_at"	0.318
"213284_at"	"218481_at"	0.318
"201641_at"	"208436_s_at"	0.605
"201641_at"	"209252_at"	0.149
"210324_at"	"207930_at"	0.719
"200677_at"	"201551_s_at"	0.297
"200677_at"	"201552_at"	0.297
"200677_at"	"201553_s_at"	0.297
"200677_at"	"213728_at"	0.297
"206399_x_at"	"200744_s_at"	0.441
"206399_x_at"	"200745_s_at"	0.441
"206399_x_at"	"200746_s_at"	0.441
"210770_s_at"	"200744_s_at"	0.441
"210770_s_at"	"200745_s_at"	0.441
"210770_s_at"	"200746_s_at"	0.441
"214933_at"	"200744_s_at"	0.441
"214933_at"	"200745_s_at"	0.441
"214933_at"	"200746_s_at"	0.441
"206399_x_at"	"200852_x_at"	0.305
"210770_s_at"	"200852_x_at"	0.305
"214933_at"	"200852_x_at"	0.305
"206399_x_at"	"200678_x_at"	0.525
"206399_x_at"	"211284_s_at"	0.525
"206399_x_at"	"216041_x_at"	0.525
"210770_s_at"	"200678_x_at"	0.525
"210770_s_at"	"211284_s_at"	0.525
"210770_s_at"	"216041_x_at"	0.525
"214933_at"	"200678_x_at"	0.525
"214933_at"	"211284_s_at"	0.525
"214933_at"	"216041_x_at"	0.525
"206399_x_at"	"206270_at"	0.333
"210770_s_at"	"206270_at"	0.333
"214933_at"	"206270_at"	0.333
"206399_x_at"	"214023_x_at"	0.243
"210770_s_at"	"214023_x_at"	0.243
"214933_at"	"214023_x_at"	0.243
"207613_s_at"	"212983_at"	0.551
"213108_at"	"212983_at"	0.551
"207613_s_at"	"206493_at"	0.22
"207613_s_at"	"206494_s_at"	0.22
"207613_s_at"	"216956_s_at"	0.22
"207613_s_at"	"216966_at"	0.22
"213108_at"	"206493_at"	0.22
"213108_at"	"206494_s_at"	0.22
"213108_at"	"216956_s_at"	0.22
"213108_at"	"216966_at"	0.22
"207613_s_at"	"203003_at"	0.259
"207613_s_at"	"203004_s_at"	0.259
"213108_at"	"203003_at"	0.259
