"probe1"	"probe2"	"ont"
"207163_s_at"	"212777_at"	0.339
"207163_s_at"	"212780_at"	0.339
"207163_s_at"	"202005_at"	0.116
"207163_s_at"	"216905_s_at"	0.116
"207163_s_at"	"216906_at"	0.116
"207163_s_at"	"208991_at"	0.373
"207163_s_at"	"208992_s_at"	0.373
"207163_s_at"	"203010_at"	0.37
"207163_s_at"	"204292_x_at"	0.593
"207163_s_at"	"41657_at"	0.593
"207163_s_at"	"207113_s_at"	0.399
"207163_s_at"	"204083_s_at"	0.312
"207163_s_at"	"212654_at"	0.312
"207163_s_at"	"215624_at"	0.42
"207163_s_at"	"215735_s_at"	0.42
"207163_s_at"	"203315_at"	0.176
"207163_s_at"	"217862_at"	0.329
"207163_s_at"	"217863_at"	0.329
"207163_s_at"	"217864_s_at"	0.329
"207163_s_at"	"204371_s_at"	0.231
"207163_s_at"	"204372_s_at"	0.231
"207163_s_at"	"212303_x_at"	0.231
"207163_s_at"	"216326_s_at"	0.297
"207163_s_at"	"219257_s_at"	0.458
"207163_s_at"	"201173_x_at"	0.184
"207163_s_at"	"210574_s_at"	0.184
"207163_s_at"	"210575_at"	0.184
"207163_s_at"	"218223_s_at"	0.657
"207163_s_at"	"209026_x_at"	0.317
"207163_s_at"	"211714_x_at"	0.317
"207163_s_at"	"212320_at"	0.317
"211560_s_at"	"207889_at"	0.082
"211560_s_at"	"210063_at"	0.082
"211560_s_at"	"210862_s_at"	0.082
"211560_s_at"	"211322_s_at"	0.082
"211560_s_at"	"206834_at"	0.466
"211560_s_at"	"202245_at"	0.128
"211560_s_at"	"211018_at"	0.128
"211560_s_at"	"211019_s_at"	0.128
"211560_s_at"	"209036_s_at"	0.091
"211560_s_at"	"213333_at"	0.091
"211560_s_at"	"208714_at"	0.147
"211560_s_at"	"218034_at"	0.292
"204174_at"	"203416_at"	0.657
"204174_at"	"201136_at"	0.19
"204174_at"	"217728_at"	0.232
"204174_at"	"208130_s_at"	0.142
"204174_at"	"210629_x_at"	NA
"204174_at"	"211581_x_at"	NA
"204174_at"	"211582_x_at"	NA
"204174_at"	"214181_x_at"	NA
"204174_at"	"214574_x_at"	NA
"204174_at"	"215633_x_at"	NA
"204174_at"	"202546_at"	0.192
"205477_s_at"	"205049_s_at"	0.38
"214425_at"	"205049_s_at"	0.38
"200782_at"	"200094_s_at"	0.253
"200782_at"	"204102_s_at"	0.253
"200782_at"	"200600_at"	0.291
"200782_at"	"200737_at"	0.361
"200782_at"	"200738_s_at"	0.361
"200782_at"	"217356_s_at"	0.361
"200782_at"	"217383_at"	0.361
"200782_at"	"200967_at"	0.271
"200782_at"	"200968_s_at"	0.271
"200782_at"	"201380_at"	0.081
"206200_s_at"	"208894_at"	0.329
"206200_s_at"	"210982_s_at"	0.329
"214783_s_at"	"208894_at"	0.329
"214783_s_at"	"210982_s_at"	0.329
"206200_s_at"	"217728_at"	0.606
"214783_s_at"	"217728_at"	0.606
"209462_at"	"201116_s_at"	0.218
"209462_at"	"201117_s_at"	0.218
"209462_at"	"205586_x_at"	NA
"203175_at"	"202329_at"	0.409
"203175_at"	"203028_s_at"	0.297
"203175_at"	"201040_at"	0.646
"203175_at"	"215996_at"	0.646
"203175_at"	"208018_s_at"	0.313
"203175_at"	"212777_at"	0.418
"203175_at"	"212780_at"	0.418
"203175_at"	"205312_at"	0.238
"203175_at"	"208991_at"	0.332
"203175_at"	"208992_s_at"	0.332
"203175_at"	"206219_s_at"	0.374
"203175_at"	"208854_s_at"	0.334
"203175_at"	"208855_s_at"	0.334
"203175_at"	"215188_at"	0.334
"203175_at"	"212651_at"	0.886
"203175_at"	"208009_s_at"	0.462
"203175_at"	"218076_s_at"	0.347
"203175_at"	"221789_x_at"	0.791
"203175_at"	"222131_x_at"	0.791
"203175_at"	"65770_at"	0.791
"207136_at"	"203388_at"	0.657
"207136_at"	"211201_at"	0.657
"207136_at"	"209201_x_at"	0.657
"207136_at"	"211919_s_at"	0.657
"207136_at"	"217028_at"	0.657
"203388_at"	"202329_at"	0.318
"203388_at"	"211928_at"	0.255
"203388_at"	"200094_s_at"	0.391
"203388_at"	"204102_s_at"	0.391
"203388_at"	"208018_s_at"	0.448
"203388_at"	"212082_s_at"	0.341
"203388_at"	"214002_at"	0.341
"203388_at"	"200057_s_at"	0.226
"203388_at"	"208698_s_at"	0.226
"203388_at"	"210470_x_at"	0.226
"203388_at"	"201140_s_at"	0.279
"203388_at"	"201156_s_at"	0.279
"203388_at"	"212125_at"	0.344
"203388_at"	"212127_at"	0.344
"203388_at"	"200717_x_at"	0.342
"203388_at"	"212042_x_at"	0.342
"203388_at"	"200010_at"	0.517
"203388_at"	"200022_at"	0.203
"203388_at"	"214335_at"	0.203
"203388_at"	"222297_x_at"	0.203
"203388_at"	"201033_x_at"	0.369
"203388_at"	"208856_x_at"	0.369
"203388_at"	"211720_x_at"	0.369
"203388_at"	"211972_x_at"	0.369
"203388_at"	"214167_s_at"	0.369
"203388_at"	"200908_s_at"	0.436
"203388_at"	"217670_at"	0.436
"203388_at"	"209201_x_at"	0.304
"203388_at"	"211919_s_at"	0.304
"203388_at"	"217028_at"	0.304
"203388_at"	"208984_x_at"	0.272
"203388_at"	"215089_s_at"	0.272
"203388_at"	"217221_x_at"	0.272
"203388_at"	"200074_s_at"	0.385
"203388_at"	"213588_x_at"	0.385
"203388_at"	"219138_at"	0.385
"203388_at"	"201173_x_at"	0.315
"203388_at"	"210574_s_at"	0.315
"203388_at"	"210575_at"	0.315
"203388_at"	"200002_at"	0.19
"203388_at"	"218076_s_at"	0.389
"214498_at"	"221664_s_at"	0.329
"214498_at"	"222354_at"	0.329
"204608_at"	"208674_x_at"	0.336
"204608_at"	"208675_s_at"	0.336
"204608_at"	"210447_at"	0.08
"204608_at"	"215794_x_at"	0.08
"204608_at"	"200852_x_at"	0.324
"204608_at"	"200967_at"	0.232
"204608_at"	"200968_s_at"	0.232
"204608_at"	"200908_s_at"	0.322
"204608_at"	"217670_at"	0.322
"202024_at"	"201390_s_at"	0.243
"202024_at"	"201135_at"	0.282
"202024_at"	"200094_s_at"	0.213
"202024_at"	"204102_s_at"	0.213
"202024_at"	"201122_x_at"	0.187
"202024_at"	"201123_s_at"	0.187
"202024_at"	"213753_x_at"	0.187
"202024_at"	"201040_at"	0.358
"202024_at"	"215996_at"	0.358
"202024_at"	"200744_s_at"	0.402
"202024_at"	"200745_s_at"	0.402
"202024_at"	"200746_s_at"	0.402
"202024_at"	"200852_x_at"	0.402
"202024_at"	"203577_at"	0.357
"202024_at"	"200093_s_at"	0.276
"202024_at"	"207721_x_at"	0.276
"202024_at"	"208826_x_at"	0.276
"202024_at"	"208714_at"	0.217
"202024_at"	"200057_s_at"	0.164
"202024_at"	"208698_s_at"	0.164
"202024_at"	"210470_x_at"	0.164
"202024_at"	"208620_at"	0.195
"202024_at"	"201507_at"	0.052
"202024_at"	"202586_at"	0.241
"202024_at"	"211730_s_at"	0.241
"202024_at"	"200967_at"	0.2
"202024_at"	"200968_s_at"	0.2
"202024_at"	"203396_at"	0.39
"202024_at"	"201114_x_at"	0.377
"202024_at"	"216088_s_at"	0.377
"202024_at"	"202243_s_at"	0.39
"202024_at"	"202244_at"	0.39
"202024_at"	"201252_at"	0.549
"202024_at"	"200908_s_at"	0.219
"202024_at"	"217670_at"	0.219
"202024_at"	"204330_s_at"	0.202
"202024_at"	"204331_s_at"	0.202
"202024_at"	"210008_s_at"	0.202
"202024_at"	"213840_s_at"	0.202
"202024_at"	"214317_x_at"	0.163
"202024_at"	"217747_s_at"	0.163
"202024_at"	"206031_s_at"	0.364
"202024_at"	"202799_at"	0.413
"202024_at"	"203043_at"	0.182
"202024_at"	"201527_at"	0.656
"202024_at"	"203740_at"	0.657
"202024_at"	"201173_x_at"	0.246
"202024_at"	"210574_s_at"	0.246
"202024_at"	"210575_at"	0.246
"202024_at"	"200002_at"	0.038
"202024_at"	"200645_at"	0.23
"202024_at"	"202415_s_at"	0.196
"202024_at"	"205541_s_at"	0.377
"202024_at"	"209077_at"	0.657
"202024_at"	"209078_s_at"	0.657
"202024_at"	"218188_s_at"	0.286
"202024_at"	"217716_s_at"	0.354
"202024_at"	"218034_at"	0.274
"202024_at"	"222240_s_at"	0.277
"202024_at"	"218481_at"	0.352
"202024_at"	"218110_at"	0.657
"202024_at"	"209449_at"	0.2
"202024_at"	"218463_s_at"	0.351
"202024_at"	"208784_s_at"	0.231
"202024_at"	"214383_x_at"	0.231
"202024_at"	"209026_x_at"	0.174
"202024_at"	"211714_x_at"	0.174
"202024_at"	"212320_at"	0.174
"207809_s_at"	"201392_s_at"	0.087
"207809_s_at"	"201393_s_at"	0.087
"207809_s_at"	"201551_s_at"	0.394
"207809_s_at"	"201552_at"	0.394
"207809_s_at"	"201553_s_at"	0.394
"207809_s_at"	"213728_at"	0.394
"207809_s_at"	"201527_at"	0.394
"207809_s_at"	"217800_s_at"	0.13
"203849_s_at"	"218030_at"	0.298
"203850_s_at"	"218030_at"	0.298
"1861_at"	"204493_at"	0.257
"1861_at"	"211725_s_at"	0.257
"209364_at"	"204493_at"	0.257
"209364_at"	"211725_s_at"	0.257
"1861_at"	"200796_s_at"	0.23
"1861_at"	"200797_s_at"	0.23
"1861_at"	"200798_x_at"	0.23
"1861_at"	"214056_at"	0.23
"1861_at"	"214057_at"	0.23
"209364_at"	"200796_s_at"	0.23
"209364_at"	"200797_s_at"	0.23
"209364_at"	"200798_x_at"	0.23
"209364_at"	"214056_at"	0.23
"209364_at"	"214057_at"	0.23
"1861_at"	"207000_s_at"	0.234
"1861_at"	"209697_at"	0.234
"1861_at"	"213950_s_at"	0.234
"1861_at"	"32540_at"	0.234
"1861_at"	"32541_at"	0.234
"209364_at"	"207000_s_at"	0.234
"209364_at"	"209697_at"	0.234
"209364_at"	"213950_s_at"	0.234
"209364_at"	"32540_at"	0.234
"209364_at"	"32541_at"	0.234
"1861_at"	"206863_x_at"	0.657
"1861_at"	"206864_s_at"	0.657
"1861_at"	"206865_at"	0.657
"209364_at"	"206863_x_at"	0.657
"209364_at"	"206864_s_at"	0.657
"209364_at"	"206865_at"	0.657
"1861_at"	"204269_at"	0.238
"209364_at"	"204269_at"	0.238
"204493_at"	"222015_at"	0.26
"211725_s_at"	"222015_at"	0.26
"204493_at"	"201390_s_at"	0.302
"211725_s_at"	"201390_s_at"	0.302
"204493_at"	"200796_s_at"	0.298
"204493_at"	"200797_s_at"	0.298
"204493_at"	"200798_x_at"	0.298
"204493_at"	"214056_at"	0.298
"204493_at"	"214057_at"	0.298
"211725_s_at"	"200796_s_at"	0.298
"211725_s_at"	"200797_s_at"	0.298
"211725_s_at"	"200798_x_at"	0.298
"211725_s_at"	"214056_at"	0.298
"211725_s_at"	"214057_at"	0.298
"204493_at"	"200600_at"	0.361
"211725_s_at"	"200600_at"	0.361
"204493_at"	"209941_at"	0.368
"211725_s_at"	"209941_at"	0.368
"204493_at"	"201471_s_at"	0.304
"204493_at"	"213112_s_at"	0.304
"211725_s_at"	"201471_s_at"	0.304
"211725_s_at"	"213112_s_at"	0.304
"211962_s_at"	"212627_s_at"	0.555
"211962_s_at"	"213648_at"	0.555
"211965_at"	"212627_s_at"	0.555
"211965_at"	"213648_at"	0.555
"213277_at"	"212627_s_at"	0.555
"213277_at"	"213648_at"	0.555
"213284_at"	"212627_s_at"	0.555
"213284_at"	"213648_at"	0.555
"211962_s_at"	"218481_at"	0.173
"211965_at"	"218481_at"	0.173
"213277_at"	"218481_at"	0.173
"213284_at"	"218481_at"	0.173
"201641_at"	"208436_s_at"	0.374
"201641_at"	"209252_at"	0.716
"210324_at"	"207930_at"	NA
"200677_at"	"201551_s_at"	0.455
"200677_at"	"201552_at"	0.455
"200677_at"	"201553_s_at"	0.455
"200677_at"	"213728_at"	0.455
"206399_x_at"	"200744_s_at"	0.203
"206399_x_at"	"200745_s_at"	0.203
"206399_x_at"	"200746_s_at"	0.203
"210770_s_at"	"200744_s_at"	0.203
"210770_s_at"	"200745_s_at"	0.203
"210770_s_at"	"200746_s_at"	0.203
"214933_at"	"200744_s_at"	0.203
"214933_at"	"200745_s_at"	0.203
"214933_at"	"200746_s_at"	0.203
"206399_x_at"	"200852_x_at"	0.203
"210770_s_at"	"200852_x_at"	0.203
"214933_at"	"200852_x_at"	0.203
"206399_x_at"	"200678_x_at"	0.224
"206399_x_at"	"211284_s_at"	0.224
"206399_x_at"	"216041_x_at"	0.224
"210770_s_at"	"200678_x_at"	0.224
"210770_s_at"	"211284_s_at"	0.224
"210770_s_at"	"216041_x_at"	0.224
"214933_at"	"200678_x_at"	0.224
"214933_at"	"211284_s_at"	0.224
"214933_at"	"216041_x_at"	0.224
"206399_x_at"	"206270_at"	0
"210770_s_at"	"206270_at"	0
"214933_at"	"206270_at"	0
"206399_x_at"	"214023_x_at"	0.199
"210770_s_at"	"214023_x_at"	0.199
"214933_at"	"214023_x_at"	0.199
"207613_s_at"	"212983_at"	0.267
"213108_at"	"212983_at"	0.267
"207613_s_at"	"206493_at"	0.394
"207613_s_at"	"206494_s_at"	0.394
"207613_s_at"	"216956_s_at"	0.394
"207613_s_at"	"216966_at"	0.394
"213108_at"	"206493_at"	0.394
"213108_at"	"206494_s_at"	0.394
"213108_at"	"216956_s_at"	0.394
"213108_at"	"216966_at"	0.394
"207613_s_at"	"203003_at"	0.188
"207613_s_at"	"203004_s_at"	0.188
"213108_at"	"203003_at"	0.188
"213108_at"	"203004_s_at"	0.188
"207613_s_at"	"202400_s_at"	0.222
"207613_s_at"	"202401_s_at"	0.222
"213108_at"	"202400_s_at"	0.222
"213108_at"	"202401_s_at"	0.222
"207613_s_at"	"201471_s_at"	0.658
"207613_s_at"	"213112_s_at"	0.658
"213108_at"	"201471_s_at"	0.658
"213108_at"	"213112_s_at"	0.658
"207613_s_at"	"204375_at"	NA
"213108_at"	"204375_at"	NA
"207613_s_at"	"218030_at"	0.657
"213108_at"	"218030_at"	0.657
"214049_x_at"	"202087_s_at"	0
"214551_s_at"	"202087_s_at"	0
"214049_x_at"	"206056_x_at"	0
"214049_x_at"	"206057_x_at"	0
"214049_x_at"	"216980_s_at"	0
"214049_x_at"	"216981_x_at"	0
"214551_s_at"	"206056_x_at"	0
"214551_s_at"	"206057_x_at"	0
"214551_s_at"	"216980_s_at"	0
"214551_s_at"	"216981_x_at"	0
"204581_at"	"215925_s_at"	0.444
"217422_s_at"	"215925_s_at"	0.444
"220674_at"	"215925_s_at"	0.444
"38521_at"	"215925_s_at"	0.444
"204581_at"	"205049_s_at"	0.288
"217422_s_at"	"205049_s_at"	0.288
"220674_at"	"205049_s_at"	0.288
"38521_at"	"205049_s_at"	0.288
"204581_at"	"206056_x_at"	0.119
"204581_at"	"206057_x_at"	0.119
"204581_at"	"216980_s_at"	0.119
"204581_at"	"216981_x_at"	0.119
"217422_s_at"	"206056_x_at"	0.119
"217422_s_at"	"206057_x_at"	0.119
"217422_s_at"	"216980_s_at"	0.119
"217422_s_at"	"216981_x_at"	0.119
"220674_at"	"206056_x_at"	0.119
"220674_at"	"206057_x_at"	0.119
