"PROTEIN","SYMBOL","ENTREZID"
"9606.ENSP00000200457","TRIP6","196883"
"9606.ENSP00000200557","ADAM11","111"
"9606.ENSP00000200652","SLC22A4","112"
"9606.ENSP00000200676","CETP","113"
"9606.ENSP00000200691","MT3","114"
"9606.ENSP00000201031","TFAP2C","115"
"9606.ENSP00000201586","SULT2B1","116"
"9606.ENSP00000201647","EPS8L1","117"
"9606.ENSP00000201979","REM1","118"
"9606.ENSP00000202556","PPP1R13B","119"
"9606.ENSP00000202625","TGM6","120"
"9606.ENSP00000202677","RALGAPA2","79747"
"9606.ENSP00000202773","RPL6","124"
"9606.ENSP00000202788","MAPKAPK5","125"
"9606.ENSP00000202816","ESF1","127"
"9606.ENSP00000202831","SLC24A6","128"
"9606.ENSP00000202967","SIRT4","130"
"9606.ENSP00000203001","TRMT6","131"
"9606.ENSP00000203407","UQCRC1","137872"
"9606.ENSP00000203556","GMIP","55256"
"9606.ENSP00000203629","LAG3","149685"
"9606.ENSP00000203630","MLF2","9370"
"9606.ENSP00000299866","FAM18A","51094"
"9606.ENSP00000203664","OTUB2","79602"
"9606.ENSP00000204517","TFAP4","132"
"9606.ENSP00000204549","PDCD7","133"
"9606.ENSP00000204566","SPG21","79924"
"9606.ENSP00000204604","CHRD","199800"
"9606.ENSP00000204615","THPO","23394"
"9606.ENSP00000204679","GNPTG","22850"
"9606.ENSP00000204726","GOLGA3","84890"
"9606.ENSP00000204961","EFNB1","134"
"9606.ENSP00000205061","GLG1","135"
"9606.ENSP00000205143","DLL3","136"
"9606.ENSP00000205194","NAT14","140"
"9606.ENSP00000205214","AASDH","83440"
"9606.ENSP00000205386","LAMB4","141"
"9606.ENSP00000205402","DLD","113622"
"9606.ENSP00000229002","RERGL","54936"
"9606.ENSP00000205557","ABCC6","56985"
"9606.ENSP00000205636","CMTM6","148"
"9606.ENSP00000205890","MYO15A","147"
"9606.ENSP00000205948","APOH","146"
"9606.ENSP00000206020","SPAG7","150"
"9606.ENSP00000206249","ESR1","151"
"9606.ENSP00000206262","RGS17","152"
"9606.ENSP00000206380","TMEM101","153"
"9606.ENSP00000206423","CCDC80","154"
"9606.ENSP00000206474","HAUS4","155"
"9606.ENSP00000206513","CEBPE",NA
"9606.ENSP00000206542","OSGEP",NA
"9606.ENSP00000222584","SP4","11047"
"9606.ENSP00000206544","SLC22A17","158"
"9606.ENSP00000206595","G2E3","159"
"9606.ENSP00000206765","TGM1","122622"
"9606.ENSP00000207157","TBX15","84830"
"9606.ENSP00000207437","MYL6B","165"
"9606.ENSP00000207457","TEKT2","121536"
"9606.ENSP00000207549","UNC13D","64782"
"9606.ENSP00000207870","XYLB","166"
"9606.ENSP00000209540","OR1I1","60312"
"9606.ENSP00000209668","ADH1A","134265"
"9606.ENSP00000209718","KRT23","84632"
"9606.ENSP00000209728","CDC6","4299"
"9606.ENSP00000209873","AAAS","2334"
"9606.ENSP00000209875","CBX5","3899"
"9606.ENSP00000209884","KLHL20","27125"
"9606.ENSP00000209929","FMO2","10939"
"9606.ENSP00000210060","DHPS","173"
"9606.ENSP00000210187","RAB26","125061"
"9606.ENSP00000210313","PSMD5","174"
"9606.ENSP00000210444","NANS","54812"
"9606.ENSP00000210633","SEMA4G","175"
"9606.ENSP00000223368","BCL7B","116987"
"9606.ENSP00000300619","ZNF91",NA
"9606.ENSP00000211076","TPSD1","116986"
"9606.ENSP00000211122","GSTA3","116988"
"9606.ENSP00000211287","MAPK13","119016"
"9606.ENSP00000211314","TMEM14A","729092"
"9606.ENSP00000211413","PRRT1","414189"
"9606.ENSP00000211936","ZNF184",NA
"9606.ENSP00000211998","VCL",NA
"9606.ENSP00000212015","SIRT1","642517"
"9606.ENSP00000212355","TGFBR3","123624"
"9606.ENSP00000214869","TMED1","79841"
"9606.ENSP00000215057","MZF1","340351"
"9606.ENSP00000215061","OCEL1","84871"
"9606.ENSP00000262198","ADNP2","60509"
"9606.ENSP00000215071","PSMD8","177"
"9606.ENSP00000215095","STX1B","3267"
"9606.ENSP00000215115","BCL7C","3268"
"9606.ENSP00000215368","EFNA2","55109"
"9606.ENSP00000215375","ATP5D","55750"
"9606.ENSP00000215376","C19orf26","178"
"9606.ENSP00000215479","AMELY","79814"
"9606.ENSP00000215530","FGF22","392636"
"9606.ENSP00000215531","C19orf77","10554"
"9606.ENSP00000215555","MARCH2","10555"
"9606.ENSP00000215565","NDUFB7","56894"
"9606.ENSP00000259470","CTSL2","56895"
"9606.ENSP00000215567","TECR","55326"
"9606.ENSP00000215570","TIMM13",NA
"9606.ENSP00000215574","CDC34",NA
"9606.ENSP00000215582","C19orf21",NA
"9606.ENSP00000215587","POLR2E","8540"
"9606.ENSP00000215591","POLRMT","10551"
"9606.ENSP00000215631","GADD45B","155465"
"9606.ENSP00000215637","MADCAM1","375790"
"9606.ENSP00000216027","HSCB","181"
"9606.ENSP00000216181","MYH9","183"
"9606.ENSP00000215659","MAPK12","23287"
"9606.ENSP00000215727","SERPIND1","185"
"9606.ENSP00000215730","SNAP29","186"
"9606.ENSP00000215739","LZTR1","57085"
"9606.ENSP00000215742","THAP7","189"
"9606.ENSP00000215743","MMP11","64902"
"9606.ENSP00000215754","MIF",NA
"9606.ENSP00000215770","DDTL",NA
"9606.ENSP00000215773","DDT","25909"
"9606.ENSP00000215780","GSTT2","191"
"9606.ENSP00000216101","RASL10A","10768"
"9606.ENSP00000259895","GTF2H4","23382"
"9606.ENSP00000215781","OSM","27245"
"9606.ENSP00000215793","SF3A1","54806"
"9606.ENSP00000215794","USP18","79026"
"9606.ENSP00000215812","SEC14L3","113146"
"9606.ENSP00000215829","SNRPD3","196"
"9606.ENSP00000215832","MAPK1","57491"
"9606.ENSP00000215838","TCN2","10598"
"9606.ENSP00000215855","CRYBB3","130872"
"9606.ENSP00000215862","MORC2","197"
"9606.ENSP00000215882","SLC25A1","51327"
"9606.ENSP00000216106","HMGXB4","57379"
"9606.ENSP00000216367","POLE2","64853"
"9606.ENSP00000259915","POU5F1","199"
"9606.ENSP00000215885","PLA2G3","83543"
"9606.ENSP00000215886","LGALS2","9131"
"9606.ENSP00000215904","PDXP","84883"
"9606.ENSP00000215906","ASPHD2","150209"
"9606.ENSP00000215909","LGALS1","51390"
"9606.ENSP00000215912","PIK3IP1",NA
"9606.ENSP00000215917","SRRD",NA
"9606.ENSP00000215939","CRYBB1","9447"
"9606.ENSP00000215941","ANKRD54","9255"
"9606.ENSP00000215956","NHP2L1","7965"
"9606.ENSP00000215957","MICALL1",NA
"9606.ENSP00000215980","CENPM","9049"
"9606.ENSP00000216024","DMC1","23746"
"9606.ENSP00000260061","LRRC32","326"
"9606.ENSP00000216029","CBY1","55966"
"9606.ENSP00000216034","TOMM22","84962"
"9606.ENSP00000216036","RTDR1","203"
"9606.ENSP00000216037","XBP1","204"
"9606.ENSP00000216038","C22orf28","50808"
"9606.ENSP00000216039","JOSD1","205"
"9606.ENSP00000216044","GTPBP1","26289"
"9606.ENSP00000216068","DNAL4","122481"
"9606.ENSP00000216071","C22orf31","158067"
"9606.ENSP00000216075","MIOX","8165"
"9606.ENSP00000216085","RHBDD3","11216"
"9606.ENSP00000216099","APOBEC3D","11215"
"9606.ENSP00000216115","BIK","9590"
"9606.ENSP00000216117","HMOX1","11214"
"9606.ENSP00000216121","NIPSNAP1","158798"
"9606.ENSP00000216122","MCM5","8227"
"9606.ENSP00000216124","ARSA","11217"
"9606.ENSP00000216127","RASD2","10566"
"9606.ENSP00000216129","TTLL12","8852"
"9606.ENSP00000216133","CBX7","9495"
"9606.ENSP00000216139","ACR","9472"
"9606.ENSP00000216144","CABP7","9465"
"9606.ENSP00000216160","TAB1","10270"
"9606.ENSP00000216177","PNPLA5","26993"
"9606.ENSP00000216180","PNPLA3","10142"
"9606.ENSP00000216185","TXN2",NA
"9606.ENSP00000216187","FOXRED2","56672"
"9606.ENSP00000216190","EIF3D","79647"
"9606.ENSP00000216194","ADSL","55122"
"9606.ENSP00000216200","PVALB","80709"
"9606.ENSP00000216211","UPK3A","254268"
"9606.ENSP00000216214","FAM118A","10327"
"9606.ENSP00000216218","ST13","231"
"9606.ENSP00000216223","IL2RB","57016"
"9606.ENSP00000216225","RBX1","441282"
"9606.ENSP00000216237","L3MBTL2","1645"
"9606.ENSP00000216241","CHADL","1646"
"9606.ENSP00000216252","PHF5A","8644"
"9606.ENSP00000216254","ACO2","1109"
"9606.ENSP00000216259","PMM1",NA
"9606.ENSP00000216264","CERK","6718"
"9606.ENSP00000216267","BRD1","83592"
"9606.ENSP00000216268","ZBED4","8574"
"9606.ENSP00000216271","HDAC10","22977"
"9606.ENSP00000216274","RIPK3","207"
"9606.ENSP00000216277","PAPOLA","84335"
"9606.ENSP00000216373","SOS2","208"
"9606.ENSP00000260102","MRPL15","10000"
"9606.ENSP00000216286","NID2","64400"
"9606.ENSP00000216294","SNAPC1","210"
"9606.ENSP00000216297","SUPT16H","211"
"9606.ENSP00000216330","FKBP3","212"
"9606.ENSP00000216336","CTSG","213"
"9606.ENSP00000216338","GZMH","214"
"9606.ENSP00000216341","GZMB","126133"
"9606.ENSP00000216361","COCH","5832"
"9606.ENSP00000216366","AP4S1","216"
"9606.ENSP00000262207","CRISPLD1","8854"
"9606.ENSP00000216392","PYGL","220"
"9606.ENSP00000216410","GNPNAT1","219"
"9606.ENSP00000216416","CNIH","10840"
"9606.ENSP00000216420","CGRRF1","160428"
"9606.ENSP00000216442","ATP6V1D","217"
"9606.ENSP00000216445","C14orf105","218"
"9606.ENSP00000216446","PLEK2","224"
"9606.ENSP00000216452","PIGH","222"
"9606.ENSP00000216455","PSMA3","8659"
"9606.ENSP00000216465","GSTZ1","7915"
"9606.ENSP00000216468","TMED8","4329"
"9606.ENSP00000216471","SAMD15","501"
"9606.ENSP00000216479","AHSA1","64577"
"9606.ENSP00000216484","SPTLC2","223"
"9606.ENSP00000216487","RIN3","226"
"9606.ENSP00000239231","PANK3","229"
"9606.ENSP00000216489","ALKBH1","230"
"9606.ENSP00000216492","CHGA",NA
"9606.ENSP00000216500","DHRS7","56052"
"9606.ENSP00000216513","SIX4","84920"
