"symbol1","symbol2","MF","BP","CC"
"NCK2","CRK",0.576,0.655,0.5
"NCK2","EPHB3",0,0.455,0.36
"NCK2","GIT1",0.657,0.39,0.428
"NCK2","ARPC1B",0.485,0.57,0.366
"NCK2","SOS1",0.258,0.59,0.593
"NCK2","FYB",NA,NA,NA
"NCK2","ARPC5",0.485,0.574,0.374
"NDUFS7","UQCRC2",0.348,0.752,0.764
"NDUFS7","RPL11",0.185,0.253,0.338
"NDUFS7","ACAD9",0.439,0.489,0.614
"NDUFS7","NDUFB11",0.657,0.999,0.874
"NDUFS7","SDHC",0.337,0.598,0.737
"NDUFS7","ATP5G1",NA,NA,NA
"NDUFS7","NDUFA3",0.999,0.807,0.874
"NDUFS7","NDUFB10",0.879,0.807,0.901
"NDUFS7","NDUFV1",0.999,0.833,0.77
"NDUFS7","RHOT2",0.316,0.329,0.53
"COX7A2L","HINT1",NA,0.327,0.364
"COX7A2L","COX5A",NA,0.767,0.725
"COX7A2L","COX7C",NA,0.577,0.784
"GRIN3B","GRIK5",0.555,0.168,0.614
"TPSG1","IL13",0,0.303,0.681
"RGS2","PRKCG",0,0.369,0.537
"RGS2","TRIM47",0,0.421,0.925
"RGS2","GNAI2",0.223,0.417,0.607
"SELL","CD7",0,0.504,0.694
"SELL","AKT1",0.334,0.221,0.419
"SELL","ANXA5",0.413,0.311,0.311
"SELL","ITGA2B",0.231,0.375,0.559
"SELL","CXCR4",0.184,0.338,0.458
"SELL","LAMP1",0.319,0.461,0.65
"SELL","IL6R",0.205,0.388,0.412
"SELL","TNF",0.316,0.282,0.543
"SELL","MSN",0.288,0.44,0.3
"SELL","SPN",0.092,0.62,0.488
"SELL","NTAN1",0,0.027,NA
"SELL","STAT3",0.198,0.201,0.394
"SELL","ELF4",0.169,0.257,0.157
"SELL","IL13",0.657,0.105,0
"SELL","VWF",0.283,0.472,0.364
"SELL","STAT5A",0.162,0.147,0.157
"SELL","IL7R",0.168,0.354,0.773
"GLRX","AKT1",0.132,0.233,0.428
"GLRX","TXNRD2",0.532,0.108,0.498
"GLRX","MARS",0.138,0.178,0.549
"GLRX","EEF1G",0.097,0.117,0.591
"GLRX","RRM2",0.295,0.23,0.925
"EGR1","IRF2",0.716,0.593,0.548
"EGR1","IRF7",0.686,0.579,0.688
"EGR1","CDKN1C",0.14,0.515,0.714
"EGR1","SDHC",0.149,0.233,0.22
