"symbol1","symbol2","MF","BP","CC"
"NCK2","TNK2",0.068,0.285,0.104
"NCK2","CRK",0.324,0.371,0.118
"NCK2","EPHB3",0,0.264,0.083
"NCK2","GIT1",0.095,0.247,0.111
"NCK2","ARPC1B",0.229,0.356,0.112
"NCK2","SOS1",0.086,0.304,0.13
"NCK2","FYB",NA,NA,NA
"NCK2","ARPC5",0.229,0.34,0.117
"NDUFS7","UQCRC2",0.126,0.488,0.407
"NDUFS7","RPL11",0.042,0.178,0.157
"NDUFS7","ACAD9",0.24,0.311,0.279
"NDUFS7","NDUFB11",0.095,0.605,0.437
"NDUFS7","SDHC",0.218,0.387,0.406
"NDUFS7","ATP5G1",NA,NA,NA
"NDUFS7","NDUFA3",0.644,0.511,0.437
"NDUFS7","NDUFB10",0.453,0.511,0.475
"NDUFS7","NDUFV1",0.644,0.525,0.383
"NDUFS7","RHOT2",0.115,0.206,0.272
"COX7A2L","HINT1",NA,0.224,0.15
"COX7A2L","COX5A",NA,0.575,0.374
"COX7A2L","COX7C",NA,0.407,0.362
"GRIN3B","GRIK5",0.305,0.124,0.305
"TPSG1","IL13",0,0.125,0.183
"RGS2","PRKCG",0,0.234,0.144
"RGS2","TRIM47",0,0.229,0.227
"RGS2","GNAI2",0.063,0.25,0.186
"SELL","CD7",0,0.207,0.178
"SELL","AKT1",0.151,0.138,0.136
"SELL","ANXA5",0.207,0.184,0.105
"SELL","ITGA2B",0.068,0.207,0.217
"SELL","CXCR4",0.077,0.169,0.172
"SELL","LAMP1",0.109,0.271,0.264
"SELL","IL6R",0.087,0.235,0.165
"SELL","TNF",0.137,0.175,0.202
"SELL","MSN",0.107,0.248,0.107
"SELL","SPN",0.068,0.331,0.151
"SELL","NTAN1",0,0.034,NA
"SELL","STAT3",0.08,0.121,0.133
"SELL","ELF4",0.051,0.169,0.086
"SELL","IL13",0.095,0.071,0
"SELL","VWF",0.124,0.23,0.195
"SELL","STAT5A",0.047,0.1,0.079
"SELL","IL7R",0.051,0.148,0.264
"GLRX","AKT1",0.098,0.181,0.125
"GLRX","TXNRD2",0.414,0.094,0.143
"GLRX","MARS",0.142,0.149,0.166
"GLRX","EEF1G",0.057,0.096,0.175
"GLRX","RRM2",0.231,0.19,0.227
"EGR1","IRF2",0.24,0.306,0.138
"EGR1","IRF7",0.24,0.328,0.149
"EGR1","CDKN1C",0.047,0.29,0.126
"EGR1","SDHC",0.092,0.17,0.088
"EGR1","DAXX",0.09,0.325,0.168
"EGR1","ALOX5AP",0.061,0.174,0.131
"EGR1","BST2",0.118,0.247,0.072
"EGR1","LHX2",0.258,0.345,NA
"EGR1","HRAS",0.123,0.288,0.088
"EGR1","PITX1",0.237,0.048,0.151
"EGR1","GDF15",0.059,0.283,0.091
"EGR1","SOCS1",0.067,0.302,0.128
"EGR1","ADAR",0.119,0.261,0.153
"EGR1","IER2",0.242,0.25,0.162
"EGR1","HSPB1",0.14,0.316,0.085
"EGR1","CAMK2A",0.068,0.304,0.108
"EGR1","NR5A1",0.282,0.318,0.169
"EGR1","TNF",0.206,0.342,0.039
"EGR1","SP1",0.234,0.322,0.129
"EGR1","HLA-G",0.058,0.282,0.096
"EGR1","IRF3",0.215,0.336,0.153
"EGR1","IFIT2",0.129,0.241,0.099
"EGR1","GATA2",0.259,0.297,0.162
"EGR1","IFITM1",0.095,0.254,0.015
"EGR1","STAT3",0.249,0.305,0.149
"EGR1","SRF",0.242,0.317,0.162
"EGR1","AKT1",0.117,0.307,0.114
"PPP3CC","CALB2",0.046,0.102,0.086
"PPP3CC","PLCB2",0.232,0.192,0.227
"PPP3CC","CALML5",0.028,0.2,0.073
"PPP3CC","PPP2R5A",0.165,0.3,0.202
"PPP3CC","AKT1",0.095,0.152,0.107
"PPP3CC","MYL3",0.063,0.047,0.158
"PPP3CC","LIMK2",0.114,0.14,0.077
"PPP3CC","PLCB3",0.311,0.183,0.162
"PPP3CC","CAMK2A",0.179,0.158,0.108
"PPP3CC","PIP5K1C",0.122,0.112,0.097
"PPP3CC","HCK",0.113,0.134,0.081
"PPP3CC","BAD",0.063,0.16,0.137
"PPP3CC","KCNIP2",0.052,0.078,0.125
"PPP3CC","PPP2R4",NA,NA,NA
