"symbol1","symbol2","MF","BP","CC"
"BID","MCL1",0.081,0.388,0.226
"BID","MSN",0.121,0.21,0.076
"BID","RIPK1",0.182,0.345,0.208
"BID","SQSTM1",0.129,0.333,0.109
"BID","BBC3",0.095,0.48,0.181
"ZFP36L1","EXOSC7",0.232,0.241,0.177
"ZFP36L1","EXOSC3",0.155,0.317,0.174
"ZFP36L1","EXOSC5",0.047,0.254,0.174
"BST2","IRF7",0.099,0.347,0.175
"BST2","HARS2",0.22,0.016,0.093
"C8G","LCN1",NA,0.318,0.241
"PTTG1IP","LAMP1",0.095,0.312,0.162
"PTTG1IP","RNF149",0,0.399,0.117
"CACNA1A","GNB1",0.047,0.223,0.162
"CACNA1A","GNB2",0.047,0.082,0.088
"CACNA1A","GRN",0.053,0.173,0.062
"CACNA1A","PRKCG",0,0.165,0.184
"CACNA1A","CACNA2D4",0.59,0.198,0.115
"CACNA1A","TUBB2B",0.047,0.133,0.07
"CAMK2A","HRAS",0.104,0.293,0.118
"CAMK2A","ITGA2B",0.121,0.181,0.133
"CAMK2A","MEF2D",0.069,0.136,0.108
"CAMK2A","SRF",0.08,0.254,0.108
"CAMK2A","SYNGAP1",NA,0.239,0.227
"CAMK2A","SQSTM1",0.289,0.293,0.139
"CAMK2A","CLSTN3",NA,0.199,0.106
"CAMK2A","GIT1",0.095,0.161,0.092
"CAMK2A","CACNA2D4",0,0.131,0.085
"CD7","CTSL",0,0.136,0.011
"CD7","SPN",0,0.207,0.103
"CD22","CD68",NA,0.357,0.175
"CD22","CD72",0.137,0,0.12
"CD22","CD79A",0.083,0.42,0.262
"CD22","SPN",0.083,0.26,0.215
"CD22","TNFRSF13B",0.071,0.346,0.187
"ENTPD2","POLR2L",0.142,0.183,0.067
"CD53","GGT1",0.095,0.078,0.211
"CD53","HLA-DRB1",0.046,0.243,0.267
"CD53","SPN",0.095,0.204,0.188
"CD63","HLA-DRA",0.095,0.178,0.374
"CD63","IGF2R",0.095,0.267,0.313
"CD63","LAMP1",0.095,0.31,0.362
"CD63","MSN",0.095,0.302,0.183
"CD63","SPARC",0.095,0.284,0.293
"CD63","SRF",0.095,0.209,0.093
"CD68","CYBA",NA,0.479,0.285
"CD68","HLA-DMA",NA,0.234,0.208
"CD68","SPI1",NA,0.234,0.08
"CD68","VWF",NA,0.422,0.193
"CD72","CD79A",0.076,0,0.191
"CD72","HLA-DRB1",0.037,0,0.137
"CD72","SELL",0.061,0.342,0.228
"CD79A","CSK",0.129,0.323,0.169
"CD79A","SELL",0.068,0.238,0.25
"CD79A","SLAMF1",0.147,0.253,0.224
"CD79A","SOS1",0.081,0.245,0.148
