"symbol1","symbol2","MF","BP","CC"
"ARRB2","RPL11",0.738,0.497,0.843
"ARRB2","RPL18",0.5,0.334,0.805
"ARRB2","RPLP0",0.67,0.36,0.808
"ARRB2","RPLP2",0.724,0.325,0.809
"ARRB2","CXCR4",0.555,0.545,0.833
"ARRB2","RBM10",0.676,NA,0.8
"ARRB2","RPL14",0.713,0.342,0.818
"ARRB2","NUDC",0.685,0.325,0.891
"ARRB2","RPL35",0.506,0.327,0.819
"ARRB2","ARHGAP17",0.679,0.32,0.924
"ASIP","F11R",0.811,0.392,0.934
"ASL","DDOST",0.517,0.172,0.722
"ASL","GLUD2",0.241,0.436,0.812
"ASL","GNB2",0.65,0,0.833
"ASL","PPIB",0.553,0,0.705
"ASL","RPL4",0.648,0.341,0.804
"ASL","RPLP2",0.636,0.341,0.844
"ASNA1","CSNK2B",0.619,0.136,0.759
"ASNA1","ECHS1",0.541,0,0.599
"ASNA1","EEF1G",0.624,0.038,0.884
"ASNA1","EEF2",0.601,0.083,0.767
"ASNA1","EIF5A",0.54,0.274,0.756
"ASNA1","GNAI2",0.636,0.161,0.764
"ASNA1","GNB1",0.702,0.189,0.682
"ASNA1","GNB2",0.702,0.146,0.733
"ASNA1","GTF2H4",0.64,0.178,0.632
"ASNA1","HINT1",0.546,0.221,0.78
"ASNA1","MARS",0.048,0.143,0.8
"ASNA1","NDUFV1",0.261,0.019,0.628
"ASNA1","NONO",0.601,0.116,0.698
"ASNA1","P2RY11",0.346,0.183,0.572
"ASNA1","PCBP1",0.606,0.079,0.8
"ASNA1","PFDN1",0.424,NA,NA
"ASNA1","POLR2L",0.441,0.083,0.696
"ASNA1","PPIB",0.537,0,0.77
"ASNA1","PSMA4",0.652,0,0.748
"ASNA1","PSMA7",0.669,0,0.736
"ASNA1","PSMB4",0.652,0,0.747
"ASNA1","PSMC4",0.771,0.011,0.674
"ASNA1","RPL4",0.607,0.316,0.793
"ASNA1","RPLP2",0.589,0.316,0.683
"ASNA1","MRPS12",0.607,0.009,0.489
"ASNA1","RPS9",0.546,0.253,0.8
"ASNA1","USP5",0.578,0,0.595
"ASNA1","CLPP",0.645,0.007,0.545
"ASNA1","ZBED1",0.532,0.167,0.67
"ASNA1","ATP6V1F",0.711,0.248,0.665
"ASNA1","MPHOSPH6",1,0.016,0.725
"ASNA1","NUDC",0.612,0.099,0.769
"ASNA1","RPL35",0.449,0.277,0.716
"ASNA1","GABARAP",0.567,0.249,0.555
"ASNA1","HSPBP1",0.554,0,1
"ASNA1","GSPT2",0.648,0.011,0.532
"ASNA1","TXN2",1,0,0.691
"ASNA1","TIMM13",0.463,0.292,0.605
"ASNA1","SEC61A1",0.553,0.654,0.75
"ASNA1","FIS1",0.657,0.13,0.608
"ASNA1","ISYNA1",0.522,0,0.721
"ASNA1","PPAN",0.425,0,0.658
"ASNA1","EXOSC5",0.59,0.05,0.717
"ASNA1","XAB2",1,0.116,0.645
"ASNA1","LSM2",0.552,0,0.622
"ASNA1","MUS81",0.502,0.163,0.684
"ASNA1","YIF1B",NA,0.357,0.652
"ASNA1","KLHDC3",0.616,0.409,0.762
"ASNA1","TRAPPC5",0.604,0.283,0.433
"ASNA1","TUBB",0.549,0.183,0.74
"ATP5G1","ATP5G2",NA,NA,NA
"ATP5G1","COX7C",NA,NA,NA
"ATP5G1","TIMM8A",NA,NA,NA
"ATP5G1","ECHS1",NA,NA,NA
"ATP5G1","EIF5A",NA,NA,NA
"ATP5G1","IDH2",NA,NA,NA
"ATP5G1","MDH2",NA,NA,NA
"ATP5G1","NDUFA3",NA,NA,NA
"ATP5G1","NDUFB7",NA,NA,NA
"ATP5G1","NDUFB10",NA,NA,NA
"ATP5G1","NDUFV1",NA,NA,NA
"ATP5G1","MRPS12",NA,NA,NA
"ATP5G1","SDHC",NA,NA,NA
"ATP5G1","UQCRC2",NA,NA,NA
"ATP5G1","COX7A2L",NA,NA,NA
"ATP5G1","COX5A",NA,NA,NA
"ATP5G1","TXN2",NA,NA,NA
"ATP5G1","TIMM13",NA,NA,NA
"ATP5G1","UQCRQ",NA,NA,NA
"ATP5G1","NDUFB11",NA,NA,NA
"ATP5G1","MRPL16",NA,NA,NA
"ATP5G1","MRPL17",NA,NA,NA
"ATP5G1","MRPS24",NA,NA,NA
"ATP5G1","CHCHD4",NA,NA,NA
"ATP5G2","COX7C",NA,NA,NA
"ATP5G2","EIF5A",NA,NA,NA
"ATP5G2","MDH2",NA,NA,NA
"ATP5G2","NDUFB7",NA,NA,NA
"ATP5G2","NDUFB10",NA,NA,NA
"ATP5G2","NDUFV1",NA,NA,NA
"ATP5G2","MRPS12",NA,NA,NA
"ATP5G2","SDHC",NA,NA,NA
"ATP5G2","UQCRC2",NA,NA,NA
"ATP5G2","RBM10",NA,NA,NA
"ATP5G2","COX7A2L",NA,NA,NA
"ATP5G2","COX5A",NA,NA,NA
"ATP5G2","TIMM13",NA,NA,NA
"ATP5G2","UQCRQ",NA,NA,NA
"ATP5G2","NDUFB11",NA,NA,NA
"ATP5G2","MRPL16",NA,NA,NA
"ATP6AP1","IGF2R",0.223,0.443,0.613
"ATP6AP1","LAMP1",0.702,0.374,0.692
"ATP6AP1","ATP6V1F",0.572,0.558,0.852
"ATP6AP1","NDFIP1",0.472,0.439,0.43
"KIF1A","GIT1",0.771,0.05,0.427
"BAD","BID",0.621,0.635,0.951
"BAD","MCL1",0.585,0.528,0.83
"BAD","PPP3CC",0.589,0.162,0.72
"BAD","HRK",1,0.461,1
"BAD","PIM2",0.642,0.544,0.871
"BAD","BBC3",0.644,0.661,0.817
"BCL3","NFKB2",0.668,0.55,0.856
"BCL3","RELB",0.66,0.576,0.783
"BCL3","STAT3",0.68,0.521,0.796
"BCL3","HDAC3",0.661,0.571,0.77
"BID","CSNK1E",0.694,0.448,0.812
"BID","CSNK2B",0.678,0.415,0.669
"BID","MCL1",0.597,0.608,0.881
"BID","MSN",0.693,0.296,0.597
"BID","RIPK1",0.687,0.56,0.732
"BID","SQSTM1",0.598,0.607,0.567
"BID","BBC3",0.712,0.801,0.781
"ZFP36L1","EXOSC7",0.779,0.3,0.674
"ZFP36L1","EXOSC3",0.731,0.334,0.733
"ZFP36L1","EXOSC5",0.589,0.318,0.733
"BST2","IRF7",0.719,0.605,0.758
"BST2","HARS2",0.825,0.149,0.728
"C8G","LCN1",NA,0.719,0.917
"PTTG1IP","LAMP1",0.821,0.297,0.801
"PTTG1IP","RNF149",0.407,0.802,1
"CACNA1A","GNB1",0.571,0.441,0.744
"CACNA1A","GNB2",0.571,0.305,0.751
"CACNA1A","GRN",0.579,0.525,0.641
"CACNA1A","PRKCG",0.244,0.333,0.855
"CACNA1A","CACNA2D4",1,0.376,0.734
"CACNA1A","TUBB2B",0.541,0.243,0.784
