"cluster"	"node"
93	"ASNA1,CLPP,COX5A,DDOST,DHRS7B,EEF2,HSPBP1,MARS,NDUFV1,NUDC,PCBP1,PSMA4,PSMB4,RPL18,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,SDHC,SEC61A1,TIMM13,TUBB,UQCRC2"
94	"ANAPC2,ASNA1,CHTF18,CKS1B,CPSF1,CSNK2B,CTNNBL1,DDOST,DPH5,EEF1G,EEF2,EIF4A2,EIF5A,EXOSC3,EXOSC5,FTSJ3,GNL1,GSPT2,GTF2H4,HARS2,HINT1,HIST1H2AC,KIFC1,KLHDC4,LSM2,MARS,MRPL17,MUS81,MYBBP1A,NONO,NPM1,P2RY11,PAF1,PCBP1,PCBP2,PFDN2,POLR2L,PPAN,PRMT5,PRMT8,PSMA4,PSMA7,PSMC4,PYCR2,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL37,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,RRM2,SH3GL1,TBCA,TIMM13,TRAPPC5,TUBB,TUBGCP2,XAB2"
95	"ACTN4,AP2A1,DNM2,DYNC1H1,DYNC1LI1,KLC2,NDRG2,PPIB,PSMA7,RPS2,SH3GL1,TSC2"
96	"CRK,HRAS,PLCB3,PRKCG,RGS2"
97	"ARF1,CPSF1,CSNK1E,CSNK2B,DDOST,DYNC1H1,DYNC1LI1,EEF2,EIF4A2,EIF5A,GNB1,GNB2,GSPT2,KIFC1,MDH2,MYBBP1A,NONO,NUDC,PCBP1,PCBP2,PCNT,PLK1,PPAN,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RANGAP1,RPL14,RPL18,RPL30,RPL35,RPL4,RPL8,RPLP0,RPLP2,RPS9,THOC2,TIMM13,TRAPPC5,TUBB,TUBGCP2"
98	"ARHGAP17,ARPC1B,ARPC5,ASNA1,CSK,DDOST,DYNC1H1,EEF2,EIF4A2,FLII,GNAI2,GNB1,GNB2,HCK,HDAC3,KIFC1,MYBBP1A,MYL6,NPM1,NUDC,PCBP1,PCBP2,PDCL3,PGK1,PLK1,PPIB,RHOG,RPL7,RPLP0,RPLP2,RPS9,TUBB,ZBED1"
99	"AKT1,CEBPA,EEF1G,FRG1,IL6R,MSX1,NONO,NPM1,NR5A1,PIAS1,RPL11,RPL14,RPL18,RPL30,RPL4,RPL7,RPL8,RPS2,RPS23,STAT3,STAT4,STAT5A,THOC2,WAC"
100	"ADCY1,AKT1,ARF1,CAMK2A,CDC25A,EGR1,FRS3,GNAI2,GNB2,HCK,HRAS,ITGB4,NPM1,RAB5B,RABAC1,RASGRP2,RGS14,SLC9A3R2,SOCS1,SOS1,VAV1"
101	"CKS1B,CPSF1,CTNNBL1,FRG1,FTSJ3,GTF2F1,GTF2H4,HDAC3,LSM2,MTA2,MUS81,NPM1,NUDC,PAF1,PCBP1,PCBP2,POLR2L,PPAN,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,RANGAP1,RBM10,RPL11,RPL35,RPLP0,SF3A2,TUBB,XAB2"
102	"ARF1,CAB39,CKS1B,EEF2,EIF4A2,EIF5A,GNB1,GSPT2,IDH2,MDH2,NDUFV1,NUDC,PCBP1,PGK1,PPIB,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPN1,SET,STK24,TIMM13,UGP2"
103	"CTSL,GRN,HLA-DMA,HLA-DQA2,HLA-DRA,HLA-DRB1,HLA-G,IFI30,KIR2DL1,VAMP8"
104	"ARF1,ASNA1,CKS1B,CPSF1,CSNK2B,EEF1G,EEF2,EIF5A,EXOSC5,FRG1,FTSJ3,GTF2H4,LSM2,MTA2,MUS81,MYBBP1A,NONO,NPM1,NUDC,PCBP1,PCBP2,PPAN,PPIB,PSMB4,PSMC4,RPL11,RPL18,RPL35,RPL37A,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPS2,RPS23,RPS9,TSEN54,XAB2"
105	"ANAPC2,ARF1,BRSK1,CALML5,CDC25A,CENPH,CHTF18,CKS1B,CNTROB,DDX11,EIF4A2,EIF5A,EXOSC5,FOXM1,GNB1,GNB2,HIST1H2AA,HIST1H2AC,INCENP,KIFC1,MARS,MUS81,MYBBP1A,MYT1,NONO,NPM1,NUDC,P2RY11,PCBP1,PKMYT1,PLK1,POLD3,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,RPL18,RPL4,RPLP2,RPN1,RPS9,RRM2,SIN3B,SNCB,TACC3,TUBB,TUBGCP2,XAB2"
106	"BCL3,CKS1B,CPSF1,CSNK2B,DHX30,EXOSC7,FRG1,FTSJ3,GATA2,GTF2H4,HDAC3,HIST1H2AA,KIFC1,LSM2,MTA1,MTA2,MUS81,MYBBP1A,NONO,NPM1,NUDC,PCBP1,PDAP1,PLK1,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,RELB,RPL11,RPL14,RPL35,RPL4,RPL8,RPLP0,RPLP2,RPS2,RPS9,SAP30,SET,SIN3B,SPI1,STAT3,STAT5A,SUDS3,TBCA,THRA,TUBB,TUBGCP2,WNT10B,ZNF148"
107	"ASNA1,ATP6V1F,CHTF18,CKS1B,CLPP,CPSF1,CSNK2B,DDOST,DDX11,DYNC1H1,EEF2,EIF4A2,EIF5A,EXOSC3,EXOSC5,FTSJ3,GNB1,GNB2,GSPT2,GTF2H4,HARS2,LSM2,MARS,MDH2,MRPL16,MUS81,MYBBP1A,NONO,NUDC,PAF1,PCBP1,PCBP2,PCBP3,PDCL3,POLR2L,PPAN,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,REEP4,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL35,RPL36AL,RPL37,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS23,RPS9,SEC61A1,THOC2,TRAPPC5,TUBB,TUBGCP2,UQCRC2,XAB2,ZBED1"
108	"ARF1,ASNA1,CLPP,COX5A,COX7C,CPSF1,CSNK2B,DDOST,EEF2,EIF4A2,EIF5A,EXOSC5,GTF2H4,HARS2,IDH2,LSM2,MDH2,MRPL16,MRPL17,MRPS12,MRPS24,NDUFA3,NDUFB10,NDUFB7,NDUFV1,NUDC,PCBP1,PDCL3,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPL11,RPL14,RPL18,RPL35,RPL4,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS9,SEC61A1,SET,TRAPPC5,TUBB,UQCRC2,UQCRQ,VPS28"
109	"ANAPC2,CPSF1,CSNK2B,DDOST,DYNC1H1,EEF2,EIF4A2,EIF4G3,EIF5A,EXOSC3,EXOSC5,FTSJ3,GNB2,GNL1,GSPT2,HARS2,MARS,MYBBP1A,P2RY11,PCBP1,PCBP2,PPAN,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL27A,RPL30,RPL32,RPL4,RPL7,RPLP0,RPLP2,RPS2,RPS23,RPS9,SURF4,THOC2,TIMM13,XAB2,ZNF598"
110	"ALX4,DRAP1,FOXH1,HSPBP1,PGLYRP1,TBX5"
111	"ACAD9,ASNA1,CCS,CLPP,COX5A,DHRS7B,ECHS1,HINT1,IDH2,MDH2,MRPS24,NDUFB10,NDUFB11,NDUFV1,PGK1,PSMA4,PSMA7,RPS2,SDHC,STAT3,TIMM13,UBE2V1,UGP2,UQCRC2,UQCRQ,VPS28,VPS37C"
112	"AKT1,ANAPC2,ARHGAP17,ASNA1,ATP6V1F,CHCHD2,CHCHD4,CLPP,COMT,COX5A,COX7C,DNAJC9,EEF2,EIF5A,HINT1,IDH2,MDH2,MRPL16,MRPL17,MRPL21,MRPL52,MRPS12,MRPS24,NDUFA3,NDUFB10,NDUFB11,NDUFB7,NDUFS7,NDUFV1,NIPSNAP1,NPM1,NUDC,PFDN1,PGK1,POLR2J2,PSMA4,PSMA7,PSMB4,PSMC4,RGS2,RPL13A,RPL14,RPL18,RPL35,RPL36AL,RPL4,RPL8,RPLP0,RPS2,RPS23,SDHC,SQSTM1,TIMM13,UQCRC2,UQCRQ"
113	"ANXA5,CRTAP,EEF2,LAMA5,MRPL16,MSN,PGK1,PPIB,QRSL1,SH3GL1,SH3GLB2,TNIP1,UQCRC2"
114	"AMBP,CD22,CD72,CD79A,CSK,FATE1,LAT,SELL,SET,SLAMF1,SOS1,TNFRSF13B,TNFSF13,TRAF5"
115	"AP2A1,CNTFR,CRK,CSK,DNM2,EFS,EPHB3,FASTK,FRS3,GP9,HCK,HOXC4,HSPB1,HSPBP1,ITGA2B,KRT16,MICAL1,NCK2,OPTC,PF4,RASSF7,SH3BP1,SOCS1,SOS1,TAL1,TGOLN2,THOC2,TNK2,VAV1,VWF"
116	"ASNA1,DDOST,GTF2H4,PCBP1,PSMC4,RFXANK,RPLP2,USP5"
117	"ANAPC2,ASNA1,ATP6V1F,CENPH,CKS1B,CLPP,COX5A,CPSF1,CSNK2B,DDA1,ECHS1,EEF2,EXOSC3,EXOSC5,EXOSC7,FRG1,FTSJ3,HINT1,INCENP,KIFC1,LSM2,MRPL16,MRPL52,MRPS12,MUS81,MYBBP1A,NONO,NUDC,PAF1,PCBP1,PGK1,POLR2L,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,RPL11,RPL35,RPL36AL,RPL4,RPL8,RPLP0,RPLP2,SET,TBCA,TRPC4AP,TUBB,TUBGCP2,WDTC1,XAB2"
118	"ANAPC2,ARF1,ARPC1B,ARPC5,CKS1B,COX5A,CPSF1,CSNK2B,DDOST,DNAJC9,EEF2,EIF4A2,EIF5A,EXOSC3,EXOSC5,EXOSC7,FAU,FRG1,FTSJ3,GNB1,GNB2,GSPT2,HARS2,HIST1H2AA,HIST1H2AC,LSM2,MRPL16,MRPL17,MRPL21,MRPS12,MRPS24,MUS81,MYBBP1A,NDUFB10,NDUFB7,NDUFV1,NONO,NPM1,PCBP1,PCBP2,PDCL3,POLR2L,PPAN,PPIB,PRMT5,PSMA4,PSMA7,PSMB4,PSMC4,PYCR2,RPL10,RPL11,RPL13A,RPL14,RPL15,RPL18,RPL27A,RPL30,RPL32,RPL35,RPL36AL,RPL37,RPL37A,RPL4,RPL41,RPL7,RPL8,RPLP0,RPLP2,RPN1,RPS2,RPS21,RPS23,RPS9,RRM2,SET,SH3GL1,SURF4,TBCA,THOC2,TRAPPC5,TUBB,UQCRC2,XAB2,ZBED1"
