"entrez1","entrez2"
"1650","57048"
"1650","57187"
"1650","57819"
"1650","60682"
"1650","63875"
"1650","64754"
"1650","80198"
"1650","80736"
"1650","90850"
"1650","94103"
"1650","117246"
"1650","126003"
"1650","203068"
"1650","246721"
"1650","284996"
"1663","2968"
"1663","3619"
"1663","3833"
"1663","4141"
"1663","4841"
"1663","5347"
"1663","5685"
"1663","5704"
"1663","6124"
"1663","6241"
"1663","6418"
"1663","8841"
"1663","9088"
"1663","9555"
"1663","10514"
"1663","10714"
"1663","10726"
"1663","11224"
"1663","23234"
"1663","29894"
"1663","51010"
"1663","56342"
"1663","56915"
"1663","63922"
"1663","80198"
"1663","116138"
"1663","117246"
"1678","4141"
"1678","4191"
"1678","4713"
"1678","4716"
"1678","4723"
"1678","5685"
"1678","6166"
"1678","6167"
"1678","6228"
"1678","6391"
"1678","6418"
"1678","6836"
"1678","7385"
"1678","9045"
"1678","9377"
"1678","9929"
"1678","11224"
"1678","26517"
"1678","27089"
"1678","57819"
"1678","63875"
"1678","131474"
"1749","4487"
"1778","1785"
"1778","1938"
"1778","2314"
"1778","2771"
"1778","2782"
"1778","2794"
"1778","3123"
"1778","3833"
"1778","4141"
"1778","5093"
"1778","5116"
"1778","5184"
"1778","5347"
"1778","5685"
"1778","5688"
"1778","5692"
"1778","5704"
"1778","6124"
"1778","6132"
"1778","6141"
"1778","6156"
"1778","6175"
"1778","6181"
"1778","7169"
"1778","9045"
"1778","9583"
"1778","10419"
"1778","10514"
"1778","10726"
"1778","10844"
"1778","11224"
"1778","11337"
"1778","23198"
"1778","23708"
"1778","26517"
"1778","29894"
"1778","29920"
"1778","51143"
"1778","56342"
"1778","57187"
"1778","64837"
"1778","90850"
"1778","114876"
"1778","126003"
"1778","203068"
"1778","347733"
"1785","3055"
"1785","5479"
"1785","6187"
"1785","6455"
"1785","7409"
"1785","9051"
"1785","10200"
"1785","64837"
"1831","4791"
"1889","3482"
"1889","3916"
"1889","80331"
"1892","2937"
"1892","3094"
"1892","3418"
"1892","4191"
"1892","4716"
"1892","4723"
"1892","5230"
"1892","6187"
"1892","6391"
"1892","6774"
"1892","7335"
"1892","7360"
"1892","7385"
"1892","8192"
"1892","9377"
"1892","9973"
"1892","25828"
"1892","25979"
"1892","27089"
"1892","28976"
"1892","55748"
"1892","64951"
"1892","79016"
"1911","8841"
"1911","9112"
"1911","29882"
"1911","84108"
"1911","116138"
"1937","1938"
"1937","1984"
"1937","2483"
"1937","2968"
"1937","4869"
"1937","5032"
"1937","5201"
"1937","5479"
"1937","5692"
"1937","6124"
"1937","6129"
"1937","6132"
"1937","6135"
"1937","6141"
"1937","6168"
"1937","6175"
"1937","6181"
"1937","6187"
"1937","6228"
"1937","8554"
"1937","9112"
"1937","10514"
"1937","10726"
"1937","11224"
"1937","29894"
"1937","56342"
"1937","56915"
"1937","56949"
"1937","57819"
"1937","80198"
"1937","117246"
"1937","283989"
"1938","1974"
"1938","1978"
"1938","1984"
"1938","2197"
"1938","2314"
"1938","2747"
"1938","2782"
"1938","2783"
"1938","2794"
"1938","3094"
"1938","3418"
"1938","4141"
"1938","4191"
"1938","4478"
"1938","4637"
"1938","4723"
"1938","4841"
"1938","4869"
"1938","5032"
"1938","5093"
"1938","5094"
"1938","5230"
"1938","5441"
"1938","5479"
"1938","5685"
"1938","5688"
"1938","5692"
"1938","5704"
"1938","5878"
"1938","5905"
"1938","6124"
"1938","6129"
"1938","6132"
"1938","6134"
"1938","6135"
"1938","6138"
"1938","6141"
"1938","6156"
"1938","6157"
"1938","6161"
"1938","6166"
"1938","6167"
"1938","6168"
"1938","6171"
"1938","6175"
"1938","6181"
"1938","6183"
"1938","6184"
"1938","6187"
"1938","6203"
"1938","6227"
"1938","6228"
"1938","6241"
"1938","6418"
"1938","6455"
"1938","6774"
"1938","6836"
"1938","7249"
"1938","7360"
"1938","7385"
"1938","8192"
"1938","8334"
"1938","8672"
"1938","8878"
"1938","9045"
"1938","9230"
"1938","9296"
"1938","9377"
"1938","9583"
"1938","10095"
"1938","10360"
"1938","10419"
"1938","10514"
"1938","10726"
"1938","11224"
"1938","11337"
"1938","23016"
"1938","23038"
"1938","23234"
"1938","23438"
"1938","23521"
"1938","23633"
"1938","23640"
"1938","23708"
"1938","25828"
"1938","25979"
"1938","26517"
"1938","29882"
"1938","29894"
"1938","29920"
"1938","29927"
"1938","51160"
"1938","51477"
"1938","51611"
"1938","51690"
"1938","54948"
"1938","56342"
"1938","56949"
"1938","57187"
"1938","57819"
"1938","63875"
"1938","79031"
"1938","80198"
"1938","89941"
"1938","90850"
"1938","117246"
"1938","126003"
"1938","147746"
"1938","203068"
"1938","219927"
"1938","221613"
"1938","246721"
"1938","347733"
"1958","3265"
"1958","3433"
"1958","3660"
"1958","3661"
"1958","3665"
